country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Germany,Europe,Unconventional gas,Upstream,Gas,Biannual LDAR,0.03,-5.85
Germany,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.12,-5.85
China,Asia Pacific,Offshore oil,Upstream,Oil,Biannual LDAR,3.3,-5.84
China,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,2.6,-5.84
China,Asia Pacific,Offshore gas,Upstream,Gas,Biannual LDAR,0.91,-5.84
China,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,31.27,-5.84
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.07,-5.83
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,8.33,-5.83
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.06,-5.83
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.11,-5.83
India,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,4.59,-5.82
India,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,16.74,-5.82
China,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,10.42,-5.82
China,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.87,-5.82
France,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.04,-5.81
India,Asia Pacific,Offshore gas,Upstream,Gas,Biannual LDAR,4.19,-5.8
India,Asia Pacific,Offshore oil,Upstream,Oil,Biannual LDAR,4.27,-5.8
India,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.05,-5.8
Other countries in Europe,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.19,-5.8
New Zealand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.03,-5.8
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.58,-5.79
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.13,-5.79
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.26,-5.79
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.82,-5.79
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.25,-5.79
India,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,1.53,-5.79
India,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,5.58,-5.79
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.19,-5.79
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.07,-5.79
Denmark,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.05,-5.79
Bangladesh,Asia Pacific,Satellite - downstream,Downstream,Oil,Daily LDAR,0.32,-5.78
Denmark,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.33,-5.78
Kazakhstan,Russia & Caspian,Satellite - upstream,Upstream,Gas,Daily LDAR,71.76,-5.77
Turkmenistan,Russia & Caspian,Satellite - upstream,Upstream,Gas,Daily LDAR,1193.04,-5.77
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-5.77
Libya,Africa,Satellite - upstream,Upstream,Gas,Daily LDAR,3.52,-5.76
Argentina,Central and South America,Satellite - upstream,Upstream,Gas,Daily LDAR,3.04,-5.76
Algeria,Africa,Satellite - upstream,Upstream,Gas,Daily LDAR,52.24,-5.76
Uzbekistan,Russia & Caspian,Satellite - upstream,Upstream,Gas,Daily LDAR,70.4,-5.76
Iran,Middle East,Satellite - upstream,Upstream,Gas,Daily LDAR,17.12,-5.75
Saudi Arabia,Middle East,Satellite - upstream,Upstream,Gas,Daily LDAR,2.32,-5.75
Syria,Middle East,Satellite - upstream,Upstream,Gas,Daily LDAR,32.88,-5.74
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.03,-5.74
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,3.53,-5.72
Yemen,Middle East,Satellite - upstream,Upstream,Gas,Daily LDAR,1.44,-5.72
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.3,-5.71
Iraq,Middle East,Satellite - upstream,Upstream,Gas,Daily LDAR,7.76,-5.7
Italy,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-5.69
Other countries in Europe,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,4.86,-5.69
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,0.23,-5.69
United Kingdom,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,1.27,-5.68
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.49,-5.68
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-5.68
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.02,-5.67
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.08,-5.66
Other countries in Europe,Europe,Downstream gas,Downstream,Gas,Annual LDAR,1.62,-5.66
Kuwait,Middle East,Satellite - upstream,Upstream,Gas,Daily LDAR,0.48,-5.66
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Vapour recovery units,22.15,-5.65
Other EU17 countries,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.06,-5.65
Other EU17 countries,Europe,Offshore oil,Upstream,Oil,Annual LDAR,0.01,-5.65
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Continuous LDAR,1.39,-5.64
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,24.21,-5.64
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,5.76,-5.64
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.22,-5.64
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,14.32,-5.64
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.26,-5.64
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,19.06,-5.64
Indonesia,Asia Pacific,Unconventional gas,Upstream,Gas,Continuous LDAR,0.02,-5.64
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,12.78,-5.64
Korea,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,1.12,-5.63
Korea,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.08,-5.63
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,15.86,-5.63
Other EU7 countries,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,1.42,-5.61
Other EU7 countries,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,0.16,-5.61
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Biannual LDAR,0.01,-5.6
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.02,-5.6
Korea,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,0.23,-5.59
Korea,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,3.36,-5.59
Japan,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.09,-5.59
Japan,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,1.54,-5.59
Japan,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,2.21,-5.58
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Biannual LDAR,0.03,-5.58
Other EU7 countries,Europe,Downstream gas,Downstream,Gas,Annual LDAR,0.47,-5.57
Other EU7 countries,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.05,-5.57
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.26,-5.56
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,1.07,-5.56
Poland,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,0.01,-5.55
Poland,Europe,Offshore oil,Upstream,Oil,Continuous LDAR,0.08,-5.55
Romania,Europe,Offshore oil,Upstream,Oil,Annual LDAR,0.03,-5.54
Romania,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.1,-5.54
Japan,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,0.28,-5.54
Japan,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,4.62,-5.54
Israel,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.1,-5.54
Korea,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,1.83,-5.53
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Blowdown capture,0.08,-5.53
United Kingdom,Europe,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-5.53
United Kingdom,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.02,-5.53
Brazil,Central and South America,Downstream oil,Downstream,Oil,Continuous LDAR,1.32,-5.52
Brazil,Central and South America,Downstream gas,Downstream,Gas,Continuous LDAR,5.9,-5.52
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,7.01,-5.51
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.28,-5.51
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.34,-5.5
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Blowdown capture,4.71,-5.5
Australia,Asia Pacific,Satellite - downstream,Downstream,Oil,Daily LDAR,0.08,-5.5
China,Asia Pacific,Downstream oil,Downstream,Oil,Continuous LDAR,3.9,-5.49
China,Asia Pacific,Downstream gas,Downstream,Gas,Continuous LDAR,46.9,-5.49
India,Asia Pacific,Downstream gas,Downstream,Gas,Continuous LDAR,25.12,-5.49
India,Asia Pacific,Downstream oil,Downstream,Oil,Continuous LDAR,6.89,-5.49
New Zealand,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.17,-5.48
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.12,-5.47
United Kingdom,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,3.51,-5.47
Brazil,Central and South America,Offshore oil,Upstream,Oil,Biannual LDAR,9.93,-5.47
Brazil,Central and South America,Offshore gas,Upstream,Gas,Biannual LDAR,1.16,-5.47
Ukraine,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,1.02,-5.46
Ukraine,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,29.73,-5.46
Poland,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,0.08,-5.46
Poland,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,1.22,-5.46
Poland,Europe,Downstream gas,Downstream,Gas,Annual LDAR,0.41,-5.45
Poland,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.03,-5.45
South Africa,Africa,Downstream gas,Downstream,Gas,Quarterly LDAR,1.13,-5.45
South Africa,Africa,Downstream oil,Downstream,Oil,Quarterly LDAR,0.82,-5.45
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.35,-5.45
Other countries in Europe,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,7.29,-5.45
New Zealand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.08,-5.44
New Zealand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.01,-5.44
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.02,-5.43
Israel,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.06,-5.43
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.32,-5.42
Ghana,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.04,-5.42
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-5.42
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.03,-5.42
Angola,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.1,-5.42
Angola,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.06,-5.42
Australia,Asia Pacific,Unconventional gas,Upstream,Gas,Annual LDAR,0.72,-5.42
Australia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.03,-5.42
Chad,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.23,-5.42
China,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.04,-5.42
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.03,-5.42
Congo,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-5.42
Congo,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.12,-5.42
Niger,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.08,-5.42
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,2.23,-5.42
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,1.34,-5.42
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.1,-5.42
South Sudan,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.21,-5.42
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.09,-5.42
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.04,-5.42
Turkmenistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Annual LDAR,9.54,-5.41
Turkmenistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Annual LDAR,1.14,-5.41
New Zealand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.1,-5.41
Other,Other,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-5.41
Poland,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.79,-5.4
Kazakhstan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Annual LDAR,1.56,-5.4
Kazakhstan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.6,-5.4
Libya,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,2.2,-5.38
Libya,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.14,-5.38
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.16,-5.38
Egypt,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.17,-5.38
Egypt,Africa,Unconventional gas,Upstream,Gas,Annual LDAR,0.02,-5.38
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.59,-5.38
Ghana,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.74,-5.38
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,5.75,-5.38
Congo,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,2.07,-5.38
Congo,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.21,-5.38
Colombia,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,7.88,-5.38
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,33.82,-5.38
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.48,-5.38
Chad,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,4.22,-5.38
Cameroon,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.03,-5.38
Angola,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.1,-5.38
Angola,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,1.85,-5.38
Algeria,Africa,Unconventional gas,Upstream,Gas,Annual LDAR,0.05,-5.38
Algeria,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,3.73,-5.38
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,4.07,-5.38
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.42,-5.38
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,13.42,-5.38
Botswana,Africa,Unconventional gas,Upstream,Gas,Continuous LDAR,0.09,-5.38
Botswana,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.01,-5.38
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.24,-5.38
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.69,-5.38
South Sudan,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,3.74,-5.38
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.05,-5.38
Tunisia,Africa,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.04,-5.38
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.71,-5.38
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,3.11,-5.38
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,22.7,-5.38
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Quarterly LDAR,1.31,-5.38
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,5.4,-5.38
Niger,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.01,-5.38
Niger,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.49,-5.38
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,24.12,-5.38
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,40.17,-5.38
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,1.85,-5.38
Mozambique,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.03,-5.38
Morocco,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.02,-5.37
Other,Other,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-5.37
Other,Other,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-5.37
Tunisia,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.67,-5.37
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.87,-5.37
Brazil,Central and South America,Downstream gas,Downstream,Gas,Biannual LDAR,3.93,-5.37
Brazil,Central and South America,Downstream oil,Downstream,Oil,Biannual LDAR,0.88,-5.37
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,73.28,-5.37
Algeria,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,67.17,-5.37
Algeria,Africa,Unconventional gas,Upstream,Gas,Continuous LDAR,0.84,-5.37
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,11.98,-5.37
Indonesia,Asia Pacific,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.02,-5.37
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,10.68,-5.37
Egypt,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,3.12,-5.37
Egypt,Africa,Unconventional gas,Upstream,Gas,Continuous LDAR,0.39,-5.37
Libya,Africa,Onshore conventional gas,Upstream,Gas,Continuous LDAR,2.49,-5.37
Libya,Africa,Onshore conventional oil,Upstream,Oil,Continuous LDAR,39.69,-5.37
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,17.87,-5.37
Ecuador,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.06,-5.36
Ecuador,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,20.65,-5.36
Argentina,Central and South America,Unconventional oil,Upstream,Oil,Continuous LDAR,34.17,-5.36
Argentina,Central and South America,Unconventional gas,Upstream,Gas,Continuous LDAR,44.07,-5.36
Argentina,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,7.25,-5.36
Argentina,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,14.72,-5.36
Bolivia,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,6.91,-5.36
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.67,-5.36
Cuba,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.33,-5.36
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.64,-5.36
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.56,-5.36
Trinidad and Tobago,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.47,-5.36
Poland,Europe,Offshore oil,Upstream,Oil,Biannual LDAR,0.01,-5.36
Other,Other,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.67,-5.36
Other,Other,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.01,-5.36
Peru,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.93,-5.36
Peru,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,8.9,-5.36
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,127.76,-5.36
Venezuela,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,28.22,-5.36
Venezuela,Central and South America,Onshore conventional gas,Upstream,Gas,Annual LDAR,1.57,-5.35
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Annual LDAR,7.1,-5.35
Peru,Central and South America,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.49,-5.35
Peru,Central and South America,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.11,-5.35
Other,Other,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.04,-5.35
Trinidad and Tobago,Central and South America,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.03,-5.35
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.03,-5.35
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.04,-5.35
Cuba,Central and South America,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.02,-5.35
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.09,-5.35
Bolivia,Central and South America,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.38,-5.35
